"","row id","country","iso3","latitude","longitude","glass_amr_enrolled","amr action plan","who_region","glass_status","nap_status_glass","number_of_priority_genomes","number_of_critical_genomes","number_of_klebsiella_genomes","nap_status_tracss","nap_type","surveillance_network","national_reference_lab","glass_status_metric","glass_data_metric","national_reference_lab_metric","surveillance_network_metric","number_of_priority_genomes_metric","number_of_critical_genomes_metric","number_of_klebsiella_genomes_metric"
"51",51,"Djibouti","DJI","11.560000","43.060000","Y","N","EMRO","Enrolled - Data submitted","No National Action Plan",32,30,5,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","No, the country does not have a  national bacteriology/AMR reference laboratory performing AST for any of the bacteria.  ","Yes","Yes","No","No","1-50","1-50","1-50"
"52",52,"Dominica","DMA","15.424043","-61.341853","N","N","AMRO","Not Enrolled - No data submitted","No National Action Plan",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","No",NA,"Yes","No",NA,NA,NA
"53",53,"Dominican Republic","DOM","18.480197","-69.942111","N","N","AMRO","Not Enrolled - No data submitted","No National Action Plan",113,73,1,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Partial","100-500","50-100","1-50"
"54",54,"Ecuador","ECU","-0.220164","-78.512327","N","Y","AMRO","Not Enrolled - No data submitted","National Action Plan - Out of Date",1831,1802,59,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","No","1000-5000","1000-5000","50-100"
"55",55,"Egypt","EGY","30.044388","31.235726","Y","Y","EMRO","Enrolled - Data submitted","No National Action Plan",610,410,82,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","500-1000","100-500","50-100"
"56",56,"El Salvador","SLV","13.698994","-89.191425","N","Y","AMRO","Not Enrolled - No data submitted","National Action Plan - Out of Date",3,2,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Yes","1-50","1-50",NA
"57",57,"Equatorial Guinea","GNQ","3.741877","8.774066","N","N","AFRO","Not Enrolled - No data submitted","No National Action Plan",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","A - No capacity for generating data (antimicrobial susceptibility testing and accompanying clinical and epidemiological data) and reporting on antibiotic resistance.  ","No, the country does not have a  national bacteriology/AMR reference laboratory performing AST for any of the bacteria.  ","No",NA,"No","No",NA,NA,NA
"58",58,"Eritrea","ERI","15.338967","38.932676","N","Y","AFRO","Not Enrolled - No data submitted","National Action Plan - Current",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Partial",NA,NA,NA
"59",59,"Estonia","EST","59.437216","24.745369","Y","N","EURO","Enrolled - Data submitted","No National Action Plan",164,126,16,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Partial","100-500","100-500","1-50"
"60",60,"Eswatini","SWZ","-26.338073","31.141774","Y","Y","AFRO","Enrolled - Data submitted","National Action Plan - Out of Date",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes",NA,NA,NA
"61",61,"Ethiopia","ETH","9.000000","38.750000","Y","Y","AFRO","Enrolled - Data submitted","National Action Plan - Current",1175,626,133,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1000-5000","500-1000","100-500"
"62",62,"Fiji","FJI","-18.141588","178.442166","N","Y","WPRO","Not Enrolled - No data submitted","National Action Plan - Current",1117,539,128,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","No",NA,"Yes","Partial","1000-5000","500-1000","100-500"
"63",63,"Finland","FIN","60.167488","24.942747","Y","Y","EURO","Enrolled - Data submitted","National Action Plan - Out of Date",1486,419,48,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","D - Full implementation and monitoring of the national action plan on AMR with necessary financing available .  ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1000-5000","100-500","1-50"
"64",64,"France","FRA","48.858890","2.320041","Y","Y","EURO","Enrolled - Data submitted","National Action Plan - Current",10481,7961,624,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","10000-50000","5000-10000","500-1000"
"65",65,"Gabon","GAB","0.408652","9.441885","Y","Y","AFRO","Enrolled - No data submitted","National Action Plan - Out of Date",65,3,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","No","Yes","Yes","50-100","1-50",NA
"66",66,"Gambia (Republic of The)","GMB","13.452524","-16.577954","Y","N","AFRO","Enrolled - No data submitted","No National Action Plan",2352,363,20,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","No","Yes","No","1000-5000","100-500","1-50"
"67",67,"Georgia","GEO","41.693459","44.801449","Y","N","EURO","Enrolled - Data submitted","No National Action Plan",56,16,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","50-100","1-50",NA
"68",68,"Germany","DEU","52.510885","13.398937","Y","Y","EURO","Enrolled - Data submitted","National Action Plan - Current",20210,11595,1310,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","10000-50000","10000-50000","1000-5000"
"69",69,"Ghana","GHA","5.557110","-0.201238","Y","Y","AFRO","Enrolled - Data submitted","National Action Plan - Out of Date",787,490,248,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","Yes","Yes","Yes","Yes","500-1000","100-500","100-500"
"70",70,"Greece","GRC","37.975565","23.734832","Y","Y","EURO","Enrolled - Data submitted","National Action Plan - Out of Date",907,859,698,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Partial","500-1000","500-1000","500-1000"
"71",71,"Grenada","GRD","12.053533","-61.751805","N","N","AMRO","Not Enrolled - No data submitted","No National Action Plan",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","A - No capacity for generating data (antimicrobial susceptibility testing and accompanying clinical and epidemiological data) and reporting on antibiotic resistance.  ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","No",NA,"Yes","No",NA,NA,NA
"72",72,"Guatemala","GTM","14.641614","-90.513284","N","N","AMRO","Not Enrolled - No data submitted","No National Action Plan",1854,1812,327,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Yes","1000-5000","1000-5000","100-500"
"73",73,"Guinea","GIN","9.517060","-13.699843","N","Y","AFRO","Not Enrolled - No data submitted","National Action Plan - Out of Date",7,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","B - National action plan on AMR endorsed by government.  ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","No",NA,"Yes","Yes","1-50",NA,NA
"74",74,"Guinea Bissau","GNB","11.861324","-15.583055","N","Y","AFRO","Not Enrolled - No data submitted","National Action Plan - Current",27,26,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Yes","1-50","1-50",NA
"75",75,"Guyana","GUY","6.813743","-58.162447","N","N","AMRO","Not Enrolled - No data submitted","No National Action Plan",7,7,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","No, the country does not have a  national bacteriology/AMR reference laboratory performing AST for any of the bacteria.  ","No",NA,"No","No","1-50","1-50",NA
"76",76,"Haiti","HTI","18.547327","-72.339593","N","N","AMRO","Not Enrolled - No data submitted","No National Action Plan",8,8,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","No",NA,"Yes","No","1-50","1-50",NA
"77",77,"Honduras","HND","14.105743","-87.204005","N","N","AMRO","Not Enrolled - No data submitted","No National Action Plan",9,8,3,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","No",NA,"Yes","Yes","1-50","1-50","1-50"
"78",78,"Hungary","HUN","47.497879","19.040238","N","N","EURO","Not Enrolled - No data submitted","No National Action Plan",1413,1146,286,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Yes","1000-5000","1000-5000","100-500"
"79",79,"Iceland","ISL","64.145981","-21.942237","N","Y","EURO","Not Enrolled - Data submitted","No National Action Plan",1362,15,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Yes","1000-5000","1-50",NA
"80",80,"India","IND","28.643086","77.219267","Y","Y","SEARO","Enrolled - Data submitted","National Action Plan - Out of Date",3215,1716,421,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1000-5000","1000-5000","100-500"
"81",81,"Indonesia","IDN","-6.175405","106.827168","Y","Y","SEARO","Enrolled - Data submitted","National Action Plan - Out of Date",694,549,70,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","500-1000","500-1000","50-100"
"82",82,"Iran (Islamic Republic of)","IRN","35.700346","51.407683","Y","Y","EMRO","Enrolled - Data submitted","National Action Plan - Out of Date",164,160,51,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","100-500","100-500","50-100"
"83",83,"Iraq","IRQ","33.306170","44.387221","Y","Y","EMRO","Enrolled - Data submitted","National Action Plan - Out of Date",58,29,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","Yes","Yes","Yes","Yes","50-100","1-50",NA
"84",84,"Ireland","IRL","53.349379","-6.260559","Y","Y","EURO","Enrolled - Data submitted","National Action Plan - Current",4309,794,240,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Partial","1000-5000","500-1000","100-500"
"85",85,"Israel","ISR","31.769040","35.216330","N","N","EURO","Not Enrolled - No data submitted","No National Action Plan",4205,2595,375,NA,NA,NA,NA,"No",NA,NA,NA,"1000-5000","1000-5000","100-500"
"86",86,"Italy","ITA","41.893320","12.482932","Y","Y","EURO","Enrolled - Data submitted","National Action Plan - Current",4450,2376,1330,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1000-5000","1000-5000","1000-5000"
"87",87,"Jamaica","JAM","17.971215","-76.792813","N","N","AMRO","Not Enrolled - No data submitted","No National Action Plan",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","No",NA,NA,NA
"88",88,"Japan","JPN","35.676860","139.763895","Y","Y","WPRO","Enrolled - Data submitted","National Action Plan - Current",17381,12256,1945,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","10000-50000","10000-50000","1000-5000"
"89",89,"Jordan","JOR","31.951569","35.923963","Y","Y","EMRO","Enrolled - Data submitted","National Action Plan - Out of Date",47,16,7,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1-50","1-50","1-50"
"90",90,"Kazakhstan","KAZ","51.128220","71.430668","N","N","EURO","Not Enrolled - No data submitted","No National Action Plan",5,4,3,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","No",NA,"Yes","Yes","1-50","1-50","1-50"
"91",91,"Kenya","KEN","-1.302615","36.828842","Y","Y","AFRO","Enrolled - Data submitted","National Action Plan - Out of Date",3860,3180,560,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1000-5000","1000-5000","500-1000"
"92",92,"Kiribati","KIR","1.349078","173.038651","N","N","WPRO","Not Enrolled - No data submitted","No National Action Plan",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"93",93,"Kosovo","KOS","42.586958","20.902123","Y","Y",NA,"Enrolled - Data submitted","National Action Plan - Out of Date",NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,NA
"94",94,"Kuwait","KWT","29.379653","47.973417","Y","Y","EMRO","Enrolled - Data submitted","National Action Plan - Current",396,368,10,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","No, the country does not have a  national bacteriology/AMR reference laboratory performing AST for any of the bacteria.  ","Yes","Yes","No","Partial","100-500","100-500","1-50"
"95",95,"Kyrgyzstan","KGZ","42.877789","74.606693","N","Y","EURO","Not Enrolled - No data submitted","National Action Plan - Current",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","A - No capacity for generating data (antimicrobial susceptibility testing and accompanying clinical and epidemiological data) and reporting on antibiotic resistance.  ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","No",NA,"Yes","No",NA,NA,NA
"96",96,"Lao People's Democratic Republic (Laos)","LAO","18.083330","102.666670","Y","Y","WPRO","Enrolled - Data submitted","National Action Plan - Out of Date",343,204,10,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","100-500","100-500","1-50"
"97",97,"Latvia","LVA","56.949398","24.105185","Y","Y","EURO","Enrolled - Data submitted","National Action Plan - Out of Date",466,360,287,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Partial","100-500","100-500","100-500"
"98",98,"Lebanon","LBN","33.889226","35.502558","Y","Y","EMRO","Enrolled - Data submitted","National Action Plan - Out of Date",516,275,38,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","500-1000","100-500","1-50"
"99",99,"Lesotho","LSO","-29.310054","27.478222","Y","N","AFRO","Enrolled - No data submitted","No National Action Plan",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","A - No capacity for generating data (antimicrobial susceptibility testing and accompanying clinical and epidemiological data) and reporting on antibiotic resistance.  ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","No","Yes","No",NA,NA,NA
"100",100,"Liberia","LBR","6.328034","-10.797788","Y","Y","AFRO","Enrolled - Data submitted","National Action Plan - Out of Date",2,1,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Partial","1-50","1-50",NA
"101",101,"Libya","LBY","32.896672","13.177792","Y","Y","EMRO","Enrolled - Data submitted","National Action Plan - Out of Date",246,246,21,NA,NA,NA,NA,"Yes","Yes",NA,NA,"100-500","100-500","1-50"
