row id,country,iso3,latitude,longitude,glass_amr_enrolled,amr action plan,who_region,glass_status,nap_status_glass,number_of_genomes,genomes_present,nap_status_tracss,nap_type,surveillance_network,sentinel_sites,national_reference_lab,glass_status_metric,national_reference_lab_metric,number_of_genomes_numeric,number_of_genomes_metric,surveillance_network_metric
54,Ecuador,ECU,-0.220164,-78.512327,N,Y,AMRO,Not Enrolled - No data submitted,National Action Plan - Out of Date,1831,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ",NA,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",No,Yes,1831,"1,000–9,999",No
55,Egypt,EGY,30.044388,31.235726,Y,Y,EMRO,Enrolled - Data submitted,No National Action Plan,610,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",80,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,610,100–999,Yes
56,El Salvador,SLV,13.698994,-89.191425,N,Y,AMRO,Not Enrolled - No data submitted,National Action Plan - Out of Date,3,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ",E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ,53,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",No,Yes,3,1–99,Yes
57,Equatorial Guinea,GNQ,3.741877,8.774066,N,N,AFRO,Not Enrolled - No data submitted,No National Action Plan,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ,A - No capacity for generating data (antimicrobial susceptibility testing and accompanying clinical and epidemiological data) and reporting on antibiotic resistance.  ,0,"No, the country does not have a  national bacteriology/AMR reference laboratory performing AST for any of the bacteria.  ",No,No,NA,NA,No
58,Eritrea,ERI,15.338967,38.932676,N,Y,AFRO,Not Enrolled - No data submitted,National Action Plan - Current,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ",1,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",No,Yes,NA,NA,Yes
59,Estonia,EST,59.437216,24.745369,Y,N,EURO,Enrolled - Data submitted,No National Action Plan,164,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ,"C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ",20,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,164,100–999,Yes
60,Eswatini,SWZ,-26.338073,31.141774,Y,Y,AFRO,Enrolled - Data submitted,National Action Plan - Out of Date,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",8,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,NA,NA,Yes
61,Ethiopia,ETH,9.000000,38.750000,Y,Y,AFRO,Enrolled - Data submitted,National Action Plan - Current,1175,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",7000,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,1175,"1,000–9,999",Yes
62,Fiji,FJI,-18.141588,178.442166,N,Y,WPRO,Not Enrolled - No data submitted,National Action Plan - Current,1117,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ",5,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ",No,Yes,1117,"1,000–9,999",Yes
63,Finland,FIN,60.167488,24.942747,Y,Y,EURO,Enrolled - Data submitted,National Action Plan - Out of Date,1486,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",D - Full implementation and monitoring of the national action plan on AMR with necessary financing available .  ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",21,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,1486,"1,000–9,999",Yes
64,France,FRA,48.858890,2.320041,Y,Y,EURO,Enrolled - Data submitted,National Action Plan - Current,10481,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ",E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ,596,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,10481,"10,000+",Yes
65,Gabon,GAB,0.408652,9.441885,Y,Y,AFRO,Enrolled - No data submitted,National Action Plan - Out of Date,65,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",31,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,65,1–99,Yes
66,Gambia (Republic of The),GMB,13.452524,-16.577954,Y,N,AFRO,Enrolled - No data submitted,No National Action Plan,2352,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ",6,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,2352,"1,000–9,999",No
67,Georgia,GEO,41.693459,44.801449,Y,N,EURO,Enrolled - Data submitted,No National Action Plan,56,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",50,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,56,1–99,Yes
68,Germany,DEU,52.510885,13.398937,Y,Y,EURO,Enrolled - Data submitted,National Action Plan - Current,20210,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ,NA,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,20210,"10,000+",Yes
69,Ghana,GHA,5.557110,-0.201238,Y,Y,AFRO,Enrolled - Data submitted,National Action Plan - Out of Date,787,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",973,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ",Yes,Yes,787,100–999,Yes
70,Greece,GRC,37.975565,23.734832,Y,Y,EURO,Enrolled - Data submitted,National Action Plan - Out of Date,907,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ",NA,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,907,100–999,Yes
71,Grenada,GRD,12.053533,-61.751805,N,N,AMRO,Not Enrolled - No data submitted,No National Action Plan,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,A - No capacity for generating data (antimicrobial susceptibility testing and accompanying clinical and epidemiological data) and reporting on antibiotic resistance.  ,6,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ",No,Yes,NA,NA,No
72,Guatemala,GTM,14.641614,-90.513284,N,N,AMRO,Not Enrolled - No data submitted,No National Action Plan,1854,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",2595,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",No,Yes,1854,"1,000–9,999",Yes
73,Guinea,GIN,9.517060,-13.699843,N,Y,AFRO,Not Enrolled - No data submitted,National Action Plan - Out of Date,7,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",B - National action plan on AMR endorsed by government.  ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",13,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ",No,Yes,7,1–99,Yes
74,Guinea Bissau,GNB,11.861324,-15.583055,N,Y,AFRO,Not Enrolled - No data submitted,National Action Plan - Current,27,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",154,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",No,Yes,27,1–99,Yes
75,Guyana,GUY,6.813743,-58.162447,N,N,AMRO,Not Enrolled - No data submitted,No National Action Plan,7,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ",4,"No, the country does not have a  national bacteriology/AMR reference laboratory performing AST for any of the bacteria.  ",No,No,7,1–99,No
76,Haiti,HTI,18.547327,-72.339593,N,N,AMRO,Not Enrolled - No data submitted,No National Action Plan,8,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ,"B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ",12,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ",No,Yes,8,1–99,No
77,Honduras,HND,14.105743,-87.204005,N,N,AMRO,Not Enrolled - No data submitted,No National Action Plan,9,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",32,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ",No,Yes,9,1–99,Yes
78,Hungary,HUN,47.497879,19.040238,N,N,EURO,Not Enrolled - No data submitted,No National Action Plan,1413,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",NA,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",No,Yes,1413,"1,000–9,999",Yes
79,Iceland,ISL,64.145981,-21.942237,N,Y,EURO,Not Enrolled - Data submitted,No National Action Plan,1362,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ,12,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",No,Yes,1362,"1,000–9,999",Yes
80,India,IND,28.643086,77.219267,Y,Y,SEARO,Enrolled - Data submitted,National Action Plan - Out of Date,3215,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",2150,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,3215,"1,000–9,999",Yes
81,Indonesia,IDN,-6.175405,106.827168,Y,Y,SEARO,Enrolled - Data submitted,National Action Plan - Out of Date,694,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",4455,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,694,100–999,Yes
82,Iran (Islamic Republic of),IRN,35.700346,51.407683,Y,Y,EMRO,Enrolled - Data submitted,National Action Plan - Out of Date,164,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",NA,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,164,100–999,Yes
83,Iraq,IRQ,33.306170,44.387221,Y,Y,EMRO,Enrolled - Data submitted,National Action Plan - Out of Date,58,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",NA,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ",Yes,Yes,58,1–99,Yes
84,Ireland,IRL,53.349379,-6.260559,Y,Y,EURO,Enrolled - Data submitted,National Action Plan - Current,4309,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ",59,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,4309,"1,000–9,999",Yes
85,Israel,ISR,31.769040,35.216330,N,N,EURO,Not Enrolled - No data submitted,No National Action Plan,4205,Yes,NA,NA,NA,NA,NA,No,NA,4205,"1,000–9,999",NA
86,Italy,ITA,41.893320,12.482932,Y,Y,EURO,Enrolled - Data submitted,National Action Plan - Current,4450,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",NA,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,4450,"1,000–9,999",Yes
87,Jamaica,JAM,17.971215,-76.792813,N,N,AMRO,Not Enrolled - No data submitted,No National Action Plan,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ,"B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ",82,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",No,Yes,NA,NA,No
88,Japan,JPN,35.676860,139.763895,Y,Y,WPRO,Enrolled - Data submitted,National Action Plan - Current,17381,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ",E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ,1400,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,17381,"10,000+",Yes
89,Jordan,JOR,31.951569,35.923963,Y,Y,EMRO,Enrolled - Data submitted,National Action Plan - Out of Date,47,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",NA,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,47,1–99,Yes
90,Kazakhstan,KAZ,51.128220,71.430668,N,N,EURO,Not Enrolled - No data submitted,No National Action Plan,5,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",31,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ",No,Yes,5,1–99,Yes
91,Kenya,KEN,-1.302615,36.828842,Y,Y,AFRO,Enrolled - Data submitted,National Action Plan - Out of Date,3860,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ",E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ,NA,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,3860,"1,000–9,999",Yes
92,Kiribati,KIR,1.349078,173.038651,N,N,WPRO,Not Enrolled - No data submitted,No National Action Plan,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA
93,Kosovo,XKX,42.586958,20.902123,Y,Y,NA,Enrolled - Data submitted,National Action Plan - Out of Date,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA
94,Kuwait,KWT,29.379653,47.973417,Y,Y,EMRO,Enrolled - Data submitted,National Action Plan - Current,396,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ",NA,"No, the country does not have a  national bacteriology/AMR reference laboratory performing AST for any of the bacteria.  ",Yes,No,396,100–999,Yes
95,Kyrgyzstan,KGZ,42.877789,74.606693,N,Y,EURO,Not Enrolled - No data submitted,National Action Plan - Current,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,A - No capacity for generating data (antimicrobial susceptibility testing and accompanying clinical and epidemiological data) and reporting on antibiotic resistance.  ,2,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ",No,Yes,NA,NA,No
96,Lao People's Democratic Republic (Laos),LAO,18.083330,102.666670,Y,Y,WPRO,Enrolled - Data submitted,National Action Plan - Out of Date,343,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",14,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,343,100–999,Yes
97,Latvia,LVA,56.949398,24.105185,Y,Y,EURO,Enrolled - Data submitted,National Action Plan - Out of Date,466,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ",12,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,466,100–999,Yes
98,Lebanon,LBN,33.889226,35.502558,Y,Y,EMRO,Enrolled - Data submitted,National Action Plan - Out of Date,516,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",NA,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,516,100–999,Yes
99,Lesotho,LSO,-29.310054,27.478222,Y,N,AFRO,Enrolled - No data submitted,No National Action Plan,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,A - No capacity for generating data (antimicrobial susceptibility testing and accompanying clinical and epidemiological data) and reporting on antibiotic resistance.  ,10,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,NA,NA,No
100,Liberia,LBR,6.328034,-10.797788,Y,Y,AFRO,Enrolled - Data submitted,National Action Plan - Out of Date,2,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ",40,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,2,1–99,Yes
101,Libya,LBY,32.896672,13.177792,Y,Y,EMRO,Enrolled - Data submitted,National Action Plan - Out of Date,246,Yes,NA,NA,NA,NA,NA,Yes,NA,246,100–999,NA
102,Liechtenstein,LIE,47.139286,9.522796,N,N,EURO,Not Enrolled - No data submitted,No National Action Plan,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA
103,Lithuania,LTU,54.687046,25.282911,Y,Y,EURO,Enrolled - Data submitted,National Action Plan - Out of Date,288,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",17,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,288,100–999,Yes
104,Luxembourg,LUX,49.611277,6.129799,Y,Y,EURO,Enrolled - Data submitted,National Action Plan - Out of Date,304,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",D - Full implementation and monitoring of the national action plan on AMR with necessary financing available .  ,"C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ",9,Unknown ,Yes,NA,304,100–999,Yes
105,Madagascar,MDG,-18.910012,47.525581,Y,Y,AFRO,Enrolled - Data submitted,National Action Plan - Out of Date,706,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ",142,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,706,100–999,Yes
106,Malawi,MWI,-13.987511,33.768144,Y,Y,AFRO,Enrolled - Data submitted,National Action Plan - Out of Date,1960,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",D - Full implementation and monitoring of the national action plan on AMR with necessary financing available .  ,E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ,16,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,1960,"1,000–9,999",Yes
